Type	SeqNo	RetxCount
BestRoute	233	1
BestRoute	234	1
BestRoute	236	1
BestRoute	238	1
BestRoute	240	1
BestRoute	241	1
BestRoute	243	1
BestRoute	245	1
BestRoute	247	1
BestRoute	248	1
BestRoute	250	1
BestRoute	252	1
BestRoute	254	1
BestRoute	255	1
BestRoute	257	1
BestRoute	259	1
BestRoute	260	1
BestRoute	262	1
BestRoute	264	1
BestRoute	266	1
BestRoute	267	1
BestRoute	269	1
BestRoute	271	1
BestRoute	273	1
BestRoute	274	1
BestRoute	276	1
BestRoute	278	1
BestRoute	280	1
BestRoute	281	1
BestRoute	110	2
BestRoute	112	2
BestRoute	115	2
BestRoute	117	2
BestRoute	119	2
BestRoute	122	2
BestRoute	124	2
BestRoute	126	2
BestRoute	174	2
BestRoute	176	2
BestRoute	179	2
BestRoute	181	2
BestRoute	183	2
BestRoute	186	2
BestRoute	188	2
BestRoute	200	2
BestRoute	202	2
BestRoute	204	2
BestRoute	207	2
BestRoute	209	2
BestRoute	211	2
BestRoute	214	2
BestRoute	216	2
BestRoute	218	2
BestRoute	221	2
BestRoute	223	2
BestRoute	225	2
BestRoute	190	2
BestRoute	193	2
BestRoute	195	2
BestRoute	197	2
BestRoute	283	1
BestRoute	284	1
BestRoute	285	1
BestRoute	286	1
BestRoute	287	1
BestRoute	288	1
BestRoute	289	1
BestRoute	290	1
BestRoute	228	2
BestRoute	230	2
BestRoute	232	2
BestRoute	235	2
BestRoute	237	2
BestRoute	239	2
BestRoute	242	2
BestRoute	244	2
BestRoute	246	2
BestRoute	249	2
BestRoute	251	2
BestRoute	253	2
BestRoute	256	2
BestRoute	258	2
BestRoute	261	2
BestRoute	263	2
BestRoute	265	2
BestRoute	268	2
BestRoute	270	2
BestRoute	272	2
BestRoute	275	2
BestRoute	277	2
BestRoute	279	2
BestRoute	282	2
BestRoute	291	1
BestRoute	292	1
BestRoute	293	1
BestRoute	294	1
BestRoute	295	1
BestRoute	296	1
BestRoute	297	1
BestRoute	298	1
BestRoute	299	1
BestRoute	300	1
BestRoute	301	1
BestRoute	302	1
BestRoute	303	1
BestRoute	304	1
BestRoute	305	1
BestRoute	306	1
BestRoute	307	1
BestRoute	308	1
BestRoute	309	1
BestRoute	310	1
BestRoute	311	1
BestRoute	312	1
BestRoute	313	1
BestRoute	314	1
BestRoute	315	1
BestRoute	316	1
BestRoute	317	1
BestRoute	318	1
BestRoute	319	1
BestRoute	320	1
BestRoute	321	1
BestRoute	322	1
BestRoute	323	1
BestRoute	324	1
BestRoute	325	1
BestRoute	326	1
BestRoute	327	1
BestRoute	328	1
BestRoute	329	1
BestRoute	330	1
BestRoute	331	1
BestRoute	332	1
BestRoute	333	1
BestRoute	334	1
BestRoute	335	1
BestRoute	336	1
BestRoute	337	1
BestRoute	338	1
BestRoute	339	1
BestRoute	340	1
BestRoute	341	1
BestRoute	342	1
BestRoute	343	1
BestRoute	344	1
BestRoute	345	1
BestRoute	346	1
BestRoute	347	1
BestRoute	348	1
BestRoute	349	1
BestRoute	350	1
BestRoute	351	1
BestRoute	352	1
BestRoute	353	1
BestRoute	355	1
BestRoute	356	1
BestRoute	358	1
BestRoute	360	1
BestRoute	362	1
BestRoute	363	1
BestRoute	365	1
BestRoute	367	1
BestRoute	369	1
BestRoute	370	1
BestRoute	372	1
BestRoute	374	1
BestRoute	376	1
BestRoute	377	1
BestRoute	379	1
BestRoute	381	1
BestRoute	383	1
BestRoute	384	1
BestRoute	386	1
BestRoute	387	1
BestRoute	388	1
BestRoute	389	1
BestRoute	390	1
BestRoute	391	1
BestRoute	392	1
BestRoute	393	1
BestRoute	394	1
BestRoute	395	1
BestRoute	396	1
BestRoute	397	1
BestRoute	398	1
BestRoute	399	1
BestRoute	400	1
BestRoute	401	1
BestRoute	402	1
BestRoute	403	1
BestRoute	404	1
BestRoute	405	1
BestRoute	406	1
BestRoute	407	1
BestRoute	408	1
BestRoute	409	1
BestRoute	410	1
BestRoute	412	1
BestRoute	414	1
BestRoute	415	1
BestRoute	417	1
BestRoute	419	1
BestRoute	421	1
BestRoute	422	1
BestRoute	424	1
BestRoute	426	1
BestRoute	428	1
BestRoute	429	1
BestRoute	431	1
BestRoute	433	1
BestRoute	435	1
BestRoute	436	1
BestRoute	438	1
BestRoute	440	1
BestRoute	442	1
BestRoute	443	1
BestRoute	445	1
BestRoute	447	1
BestRoute	449	1
BestRoute	450	1
BestRoute	452	1
BestRoute	454	1
BestRoute	456	1
BestRoute	457	1
BestRoute	459	1
BestRoute	461	1
BestRoute	463	1
BestRoute	464	1
BestRoute	466	1
BestRoute	468	1
BestRoute	470	1
BestRoute	471	1
BestRoute	473	1
BestRoute	475	1
BestRoute	477	1
BestRoute	478	1
BestRoute	480	1
BestRoute	482	1
BestRoute	484	1
BestRoute	485	1
BestRoute	487	1
BestRoute	489	1
BestRoute	491	1
BestRoute	492	1
BestRoute	494	1
BestRoute	496	1
BestRoute	498	1
BestRoute	499	1
BestRoute	501	1
BestRoute	503	1
BestRoute	505	1
BestRoute	506	1
BestRoute	508	1
BestRoute	510	1
BestRoute	512	1
BestRoute	513	1
BestRoute	515	1
BestRoute	517	1
BestRoute	354	2
BestRoute	357	2
BestRoute	359	2
BestRoute	361	2
BestRoute	364	2
BestRoute	366	2
BestRoute	368	2
BestRoute	371	2
BestRoute	373	2
BestRoute	375	2
BestRoute	378	2
BestRoute	380	2
BestRoute	382	2
BestRoute	385	2
BestRoute	411	2
BestRoute	434	2
BestRoute	437	2
BestRoute	439	2
BestRoute	441	2
BestRoute	444	2
BestRoute	446	2
BestRoute	448	2
BestRoute	413	2
BestRoute	416	2
BestRoute	418	2
BestRoute	420	2
BestRoute	423	2
BestRoute	425	2
BestRoute	427	2
BestRoute	430	2
BestRoute	432	2
BestRoute	519	1
BestRoute	520	1
BestRoute	453	2
BestRoute	455	2
BestRoute	458	2
BestRoute	460	2
BestRoute	462	2
BestRoute	465	2
BestRoute	467	2
BestRoute	469	2
BestRoute	472	2
BestRoute	474	2
BestRoute	476	2
BestRoute	479	2
BestRoute	481	2
BestRoute	483	2
BestRoute	486	2
BestRoute	451	2
BestRoute	488	2
BestRoute	490	2
BestRoute	493	2
BestRoute	495	2
BestRoute	497	2
BestRoute	500	2
BestRoute	502	2
BestRoute	504	2
BestRoute	507	2
BestRoute	509	2
BestRoute	511	2
BestRoute	514	2
BestRoute	516	2
BestRoute	518	2
BestRoute	521	1
BestRoute	522	1
BestRoute	523	1
BestRoute	524	1
BestRoute	525	1
BestRoute	526	1
BestRoute	527	1
BestRoute	528	1
BestRoute	529	1
BestRoute	530	1
BestRoute	531	1
BestRoute	532	1
BestRoute	533	1
BestRoute	534	1
BestRoute	535	1
BestRoute	536	1
BestRoute	537	1
BestRoute	538	1
BestRoute	539	1
BestRoute	540	1
BestRoute	541	1
BestRoute	542	1
BestRoute	543	1
BestRoute	544	1
BestRoute	545	1
BestRoute	546	1
BestRoute	547	1
BestRoute	548	1
BestRoute	549	1
BestRoute	550	1
BestRoute	551	1
BestRoute	552	1
BestRoute	553	1
BestRoute	554	1
BestRoute	555	1
BestRoute	556	1
BestRoute	557	1
BestRoute	558	1
BestRoute	559	1
BestRoute	560	1
BestRoute	561	1
BestRoute	562	1
BestRoute	563	1
BestRoute	564	1
BestRoute	565	1
BestRoute	566	1
BestRoute	567	1
BestRoute	568	1
BestRoute	569	1
BestRoute	570	1
BestRoute	571	1
BestRoute	573	1
BestRoute	574	1
BestRoute	576	1
BestRoute	578	1
BestRoute	580	1
BestRoute	581	1
BestRoute	583	1
BestRoute	585	1
BestRoute	587	1
BestRoute	588	1
BestRoute	590	1
BestRoute	592	1
BestRoute	593	1
BestRoute	594	1
BestRoute	595	1
BestRoute	596	1
BestRoute	597	1
BestRoute	598	1
BestRoute	599	1
BestRoute	600	1
BestRoute	601	1
BestRoute	602	1
BestRoute	603	1
BestRoute	604	1
BestRoute	605	1
BestRoute	606	1
BestRoute	607	1
BestRoute	608	1
BestRoute	609	1
BestRoute	610	1
BestRoute	611	1
BestRoute	612	1
BestRoute	613	1
BestRoute	614	1
BestRoute	615	1
BestRoute	616	1
BestRoute	617	1
BestRoute	618	1
BestRoute	619	1
BestRoute	620	1
BestRoute	621	1
BestRoute	622	1
BestRoute	623	1
BestRoute	624	1
BestRoute	625	1
BestRoute	626	1
BestRoute	627	1
BestRoute	628	1
BestRoute	629	1
BestRoute	630	1
BestRoute	631	1
BestRoute	632	1
BestRoute	634	1
BestRoute	635	1
BestRoute	637	1
BestRoute	639	1
BestRoute	641	1
BestRoute	642	1
BestRoute	644	1
BestRoute	646	1
BestRoute	648	1
BestRoute	649	1
BestRoute	651	1
BestRoute	653	1
BestRoute	655	1
BestRoute	656	1
BestRoute	658	1
BestRoute	660	1
BestRoute	662	1
BestRoute	663	1
BestRoute	665	1
BestRoute	667	1
BestRoute	669	1
BestRoute	670	1
BestRoute	672	1
BestRoute	674	1
BestRoute	676	1
BestRoute	677	1
BestRoute	679	1
BestRoute	681	1
BestRoute	683	1
BestRoute	684	1
BestRoute	686	1
BestRoute	688	1
BestRoute	690	1
BestRoute	691	1
BestRoute	693	1
BestRoute	695	1
BestRoute	697	1
BestRoute	698	1
BestRoute	700	1
BestRoute	702	1
BestRoute	704	1
BestRoute	705	1
BestRoute	707	1
BestRoute	709	1
BestRoute	711	1
BestRoute	712	1
BestRoute	714	1
BestRoute	716	1
BestRoute	718	1
BestRoute	719	1
BestRoute	721	1
BestRoute	723	1
BestRoute	725	1
BestRoute	726	1
BestRoute	728	1
BestRoute	730	1
BestRoute	732	1
BestRoute	733	1
BestRoute	735	1
BestRoute	737	1
BestRoute	739	1
BestRoute	740	1
BestRoute	742	1
BestRoute	744	1
BestRoute	746	1
BestRoute	747	1
BestRoute	749	1
BestRoute	751	1
BestRoute	754	1
BestRoute	755	1
BestRoute	757	1
BestRoute	759	1
BestRoute	762	1
BestRoute	763	1
BestRoute	765	1
BestRoute	767	1
BestRoute	572	2
BestRoute	575	2
BestRoute	577	2
BestRoute	579	2
BestRoute	582	2
BestRoute	584	2
BestRoute	586	2
BestRoute	589	2
BestRoute	591	2
BestRoute	633	2
BestRoute	636	2
BestRoute	638	2
BestRoute	640	2
BestRoute	643	2
BestRoute	645	2
BestRoute	647	2
BestRoute	650	2
BestRoute	652	2
BestRoute	654	2
BestRoute	657	2
BestRoute	659	2
BestRoute	661	2
BestRoute	664	2
BestRoute	666	2
BestRoute	668	2
BestRoute	671	2
BestRoute	673	2
BestRoute	675	2
BestRoute	678	2
BestRoute	680	2
BestRoute	682	2
BestRoute	701	2
BestRoute	703	2
BestRoute	706	2
BestRoute	708	2
BestRoute	710	2
BestRoute	713	2
BestRoute	715	2
BestRoute	717	2
BestRoute	720	2
BestRoute	685	2
BestRoute	722	2
BestRoute	724	2
BestRoute	687	2
BestRoute	689	2
BestRoute	727	2
BestRoute	729	2
BestRoute	692	2
BestRoute	731	2
BestRoute	734	2
BestRoute	694	2
BestRoute	696	2
BestRoute	736	2
BestRoute	738	2
BestRoute	699	2
BestRoute	741	2
BestRoute	743	2
BestRoute	745	2
BestRoute	748	2
BestRoute	750	2
BestRoute	752	2
BestRoute	753	2
BestRoute	756	2
BestRoute	769	1
BestRoute	770	1
BestRoute	771	1
BestRoute	772	1
BestRoute	773	1
BestRoute	774	1
BestRoute	775	1
BestRoute	776	1
BestRoute	777	1
BestRoute	778	1
BestRoute	779	1
BestRoute	780	1
BestRoute	781	1
BestRoute	782	1
BestRoute	783	1
BestRoute	784	1
BestRoute	785	1
BestRoute	786	1
BestRoute	787	1
BestRoute	788	1
BestRoute	789	1
BestRoute	790	1
BestRoute	791	1
BestRoute	792	1
BestRoute	793	1
BestRoute	794	1
BestRoute	795	1
BestRoute	796	1
BestRoute	797	1
BestRoute	798	1
BestRoute	799	1
BestRoute	800	1
BestRoute	801	1
BestRoute	802	1
BestRoute	803	1
BestRoute	804	1
BestRoute	805	1
BestRoute	806	1
BestRoute	807	1
BestRoute	808	1
BestRoute	809	1
BestRoute	810	1
BestRoute	811	1
BestRoute	812	1
BestRoute	813	1
BestRoute	814	1
BestRoute	815	1
BestRoute	758	2
BestRoute	817	1
BestRoute	760	2
BestRoute	761	2
BestRoute	818	1
BestRoute	764	2
BestRoute	820	1
BestRoute	766	2
BestRoute	768	2
BestRoute	822	1
BestRoute	824	1
BestRoute	825	1
BestRoute	827	1
BestRoute	828	1
BestRoute	829	1
BestRoute	830	1
BestRoute	831	1
BestRoute	832	1
BestRoute	833	1
BestRoute	834	1
BestRoute	835	1
BestRoute	836	1
BestRoute	837	1
BestRoute	838	1
BestRoute	839	1
BestRoute	840	1
BestRoute	841	1
BestRoute	842	1
BestRoute	843	1
BestRoute	844	1
BestRoute	845	1
BestRoute	846	1
BestRoute	847	1
BestRoute	848	1
BestRoute	849	1
BestRoute	850	1
BestRoute	851	1
BestRoute	852	1
BestRoute	853	1
BestRoute	854	1
BestRoute	855	1
BestRoute	856	1
BestRoute	857	1
BestRoute	858	1
BestRoute	859	1
BestRoute	860	1
BestRoute	861	1
BestRoute	862	1
BestRoute	863	1
BestRoute	864	1
BestRoute	865	1
BestRoute	866	1
BestRoute	867	1
BestRoute	868	1
BestRoute	869	1
BestRoute	870	1
BestRoute	871	1
BestRoute	872	1
BestRoute	873	1
BestRoute	875	1
BestRoute	876	1
BestRoute	878	1
BestRoute	880	1
BestRoute	882	1
BestRoute	883	1
BestRoute	885	1
BestRoute	887	1
BestRoute	889	1
BestRoute	890	1
BestRoute	892	1
BestRoute	894	1
BestRoute	896	1
BestRoute	897	1
BestRoute	899	1
BestRoute	901	1
BestRoute	903	1
BestRoute	904	1
BestRoute	906	1
BestRoute	908	1
BestRoute	910	1
BestRoute	911	1
BestRoute	913	1
BestRoute	915	1
BestRoute	917	1
BestRoute	918	1
BestRoute	920	1
BestRoute	922	1
BestRoute	924	1
BestRoute	925	1
BestRoute	927	1
BestRoute	929	1
BestRoute	931	1
BestRoute	932	1
BestRoute	934	1
BestRoute	936	1
BestRoute	938	1
BestRoute	939	1
BestRoute	941	1
BestRoute	943	1
BestRoute	945	1
BestRoute	946	1
BestRoute	949	1
BestRoute	951	1
BestRoute	953	1
BestRoute	955	1
BestRoute	957	1
BestRoute	959	1
BestRoute	961	1
BestRoute	963	1
BestRoute	965	1
BestRoute	967	1
BestRoute	969	1
BestRoute	971	1
BestRoute	973	1
BestRoute	975	1
BestRoute	977	1
BestRoute	979	1
BestRoute	981	1
BestRoute	983	1
BestRoute	985	1
BestRoute	987	1
BestRoute	989	1
BestRoute	991	1
BestRoute	993	1
BestRoute	816	2
BestRoute	819	2
BestRoute	821	2
BestRoute	823	2
BestRoute	826	2
BestRoute	874	2
BestRoute	877	2
BestRoute	879	2
BestRoute	881	2
BestRoute	884	2
BestRoute	886	2
BestRoute	888	2
BestRoute	891	2
BestRoute	893	2
BestRoute	895	2
BestRoute	912	2
BestRoute	914	2
BestRoute	916	2
BestRoute	919	2
BestRoute	921	2
BestRoute	923	2
BestRoute	926	2
BestRoute	928	2
BestRoute	930	2
BestRoute	933	2
BestRoute	898	2
BestRoute	900	2
BestRoute	902	2
BestRoute	905	2
BestRoute	907	2
BestRoute	909	2
BestRoute	995	1
BestRoute	996	1
BestRoute	935	2
BestRoute	937	2
BestRoute	940	2
BestRoute	942	2
BestRoute	944	2
BestRoute	947	2
BestRoute	948	2
BestRoute	950	2
BestRoute	952	2
BestRoute	954	2
BestRoute	956	2
BestRoute	958	2
BestRoute	960	2
BestRoute	962	2
BestRoute	964	2
BestRoute	966	2
BestRoute	968	2
BestRoute	970	2
BestRoute	972	2
BestRoute	974	2
BestRoute	976	2
BestRoute	978	2
BestRoute	980	2
BestRoute	982	2
BestRoute	984	2
BestRoute	986	2
BestRoute	988	2
BestRoute	990	2
BestRoute	992	2
BestRoute	994	2
BestRoute	997	1
BestRoute	998	1
BestRoute	999	1
BestRoute	1000	1
BestRoute	1001	1
BestRoute	1002	1
BestRoute	1003	1
BestRoute	1004	1
BestRoute	1005	1
BestRoute	1006	1
BestRoute	1007	1
BestRoute	1008	1
BestRoute	1009	1
BestRoute	1010	1
BestRoute	1011	1
BestRoute	1012	1
BestRoute	1013	1
BestRoute	1014	1
BestRoute	1015	1
BestRoute	1016	1
BestRoute	1017	1
BestRoute	1018	1
BestRoute	1019	1
BestRoute	1020	1
BestRoute	1021	1
BestRoute	1022	1
BestRoute	1023	1
BestRoute	1024	1
BestRoute	1025	1
BestRoute	1026	1
BestRoute	1027	1
BestRoute	1028	1
BestRoute	1029	1
BestRoute	1030	1
BestRoute	1031	1
BestRoute	1032	1
BestRoute	1033	1
BestRoute	1034	1
BestRoute	1035	1
BestRoute	1036	1
BestRoute	1037	1
BestRoute	1038	1
BestRoute	1039	1
BestRoute	1040	1
BestRoute	1041	1
BestRoute	1042	1
BestRoute	1043	1
BestRoute	1044	1
BestRoute	1045	1
BestRoute	1046	1
BestRoute	1047	1
BestRoute	1049	1
BestRoute	1050	1
BestRoute	1052	1
BestRoute	1054	1
BestRoute	1056	1
BestRoute	1057	1
BestRoute	1059	1
BestRoute	1061	1
BestRoute	1063	1
BestRoute	1064	1
BestRoute	1066	1
BestRoute	1068	1
BestRoute	1069	1
BestRoute	1070	1
BestRoute	1071	1
BestRoute	1072	1
BestRoute	1073	1
BestRoute	1074	1
BestRoute	1075	1
BestRoute	1076	1
BestRoute	1077	1
BestRoute	1078	1
BestRoute	1079	1
BestRoute	1080	1
BestRoute	1081	1
BestRoute	1082	1
BestRoute	1083	1
BestRoute	1084	1
BestRoute	1085	1
BestRoute	1086	1
BestRoute	1087	1
BestRoute	1088	1
BestRoute	1089	1
BestRoute	1090	1
BestRoute	1091	1
BestRoute	1092	1
BestRoute	1093	1
BestRoute	1094	1
BestRoute	1095	1
BestRoute	1096	1
BestRoute	1097	1
BestRoute	1098	1
BestRoute	1099	1
BestRoute	1100	1
BestRoute	1101	1
BestRoute	1102	1
BestRoute	1103	1
BestRoute	1104	1
BestRoute	1105	1
BestRoute	1106	1
BestRoute	1107	1
BestRoute	1108	1
BestRoute	1110	1
BestRoute	1111	1
BestRoute	1113	1
BestRoute	1115	1
BestRoute	1117	1
BestRoute	1118	1
BestRoute	1120	1
BestRoute	1122	1
BestRoute	1124	1
BestRoute	1125	1
BestRoute	1127	1
BestRoute	1129	1
BestRoute	1131	1
BestRoute	1132	1
BestRoute	1134	1
BestRoute	1136	1
BestRoute	1138	1
BestRoute	1139	1
BestRoute	1141	1
BestRoute	1143	1
BestRoute	1145	1
BestRoute	1146	1
BestRoute	1148	1
BestRoute	1150	1
BestRoute	1152	1
BestRoute	1153	1
BestRoute	1155	1
BestRoute	1157	1
BestRoute	1159	1
BestRoute	1160	1
BestRoute	1162	1
BestRoute	1164	1
BestRoute	1166	1
BestRoute	1167	1
BestRoute	1169	1
BestRoute	1171	1
BestRoute	1173	1
BestRoute	1174	1
BestRoute	1176	1
BestRoute	1178	1
BestRoute	1180	1
BestRoute	1181	1
BestRoute	1183	1
BestRoute	1185	1
BestRoute	1187	1
BestRoute	1188	1
BestRoute	1190	1
BestRoute	1192	1
BestRoute	1194	1
BestRoute	1195	1
BestRoute	1197	1
BestRoute	1199	1
BestRoute	1201	1
BestRoute	1202	1
BestRoute	1204	1
BestRoute	1206	1
BestRoute	1208	1
BestRoute	1209	1
BestRoute	1211	1
BestRoute	1213	1
BestRoute	1215	1
BestRoute	1216	1
BestRoute	1218	1
BestRoute	1220	1
BestRoute	1222	1
BestRoute	1223	1
BestRoute	1225	1
BestRoute	1227	1
BestRoute	1230	1
BestRoute	1231	1
BestRoute	1233	1
BestRoute	1235	1
BestRoute	1238	1
BestRoute	1239	1
BestRoute	1241	1
BestRoute	1243	1
BestRoute	1246	1
BestRoute	1048	2
BestRoute	1051	2
BestRoute	1053	2
BestRoute	1055	2
BestRoute	1058	2
BestRoute	1060	2
BestRoute	1062	2
BestRoute	1065	2
BestRoute	1067	2
BestRoute	1109	2
BestRoute	1112	2
BestRoute	1114	2
BestRoute	1116	2
BestRoute	1119	2
BestRoute	1121	2
BestRoute	1123	2
BestRoute	1126	2
BestRoute	1128	2
BestRoute	1130	2
BestRoute	1133	2
BestRoute	1135	2
BestRoute	1137	2
BestRoute	1140	2
BestRoute	1142	2
BestRoute	1144	2
BestRoute	1147	2
BestRoute	1149	2
BestRoute	1151	2
BestRoute	1154	2
BestRoute	1156	2
BestRoute	1158	2
BestRoute	1179	2
BestRoute	1182	2
BestRoute	1184	2
BestRoute	1186	2
BestRoute	1189	2
BestRoute	1191	2
BestRoute	1193	2
BestRoute	1196	2
BestRoute	1161	2
BestRoute	1198	2
BestRoute	1200	2
BestRoute	1163	2
BestRoute	1165	2
BestRoute	1203	2
BestRoute	1205	2
BestRoute	1168	2
BestRoute	1207	2
BestRoute	1210	2
BestRoute	1170	2
BestRoute	1172	2
BestRoute	1212	2
BestRoute	1214	2
BestRoute	1175	2
BestRoute	1177	2
BestRoute	1217	2
BestRoute	1219	2
BestRoute	1221	2
BestRoute	1224	2
BestRoute	1226	2
BestRoute	1228	2
BestRoute	1229	2
BestRoute	1232	2
BestRoute	1247	1
BestRoute	1248	1
BestRoute	1249	1
BestRoute	1250	1
BestRoute	1251	1
BestRoute	1252	1
BestRoute	1253	1
BestRoute	1254	1
BestRoute	1255	1
BestRoute	1256	1
BestRoute	1257	1
BestRoute	1258	1
BestRoute	1259	1
BestRoute	1260	1
BestRoute	1261	1
BestRoute	1262	1
BestRoute	1263	1
BestRoute	1264	1
BestRoute	1265	1
BestRoute	1266	1
BestRoute	1267	1
BestRoute	1268	1
BestRoute	1269	1
BestRoute	1270	1
BestRoute	1271	1
BestRoute	1272	1
BestRoute	1273	1
BestRoute	1274	1
BestRoute	1275	1
BestRoute	1276	1
BestRoute	1277	1
BestRoute	1278	1
BestRoute	1279	1
BestRoute	1280	1
BestRoute	1281	1
BestRoute	1282	1
BestRoute	1283	1
BestRoute	1284	1
BestRoute	1285	1
BestRoute	1286	1
BestRoute	1287	1
BestRoute	1288	1
BestRoute	1289	1
BestRoute	1290	1
BestRoute	1291	1
BestRoute	1292	1
BestRoute	1293	1
BestRoute	1234	2
BestRoute	1236	2
BestRoute	1295	1
BestRoute	1237	2
BestRoute	1296	1
BestRoute	1240	2
BestRoute	1242	2
BestRoute	1298	1
BestRoute	1244	2
BestRoute	1300	1
BestRoute	1245	2
BestRoute	1302	1
BestRoute	1303	1
BestRoute	1304	1
BestRoute	1305	1
BestRoute	1306	1
BestRoute	1307	1
BestRoute	1308	1
BestRoute	1309	1
BestRoute	1310	1
BestRoute	1311	1
BestRoute	1312	1
BestRoute	1313	1
BestRoute	1314	1
BestRoute	1315	1
BestRoute	1316	1
BestRoute	1317	1
BestRoute	1318	1
BestRoute	1319	1
BestRoute	1320	1
BestRoute	1321	1
BestRoute	1322	1
BestRoute	1323	1
BestRoute	1324	1
BestRoute	1325	1
BestRoute	1326	1
BestRoute	1327	1
BestRoute	1328	1
BestRoute	1329	1
BestRoute	1330	1
BestRoute	1331	1
BestRoute	1332	1
BestRoute	1333	1
BestRoute	1334	1
BestRoute	1335	1
BestRoute	1336	1
BestRoute	1337	1
BestRoute	1338	1
BestRoute	1339	1
BestRoute	1340	1
BestRoute	1341	1
BestRoute	1342	1
BestRoute	1343	1
BestRoute	1344	1
BestRoute	1345	1
BestRoute	1346	1
BestRoute	1347	1
BestRoute	1348	1
BestRoute	1349	1
BestRoute	1350	1
BestRoute	1352	1
BestRoute	1353	1
BestRoute	1355	1
BestRoute	1357	1
BestRoute	1359	1
BestRoute	1360	1
BestRoute	1362	1
BestRoute	1364	1
BestRoute	1366	1
BestRoute	1367	1
BestRoute	1369	1
BestRoute	1371	1
BestRoute	1373	1
